family,trackinglevel,subtype,grade,ucaspoints,upperscore,lowerscore,ranking
BTEC,"Level 5",HND,D/M,0.0,NULL,NULL,2.6
BTEC,"Level 5",HND,M/D,0.0,NULL,NULL,2.3
BTEC,"Level 5",HND,M,0.0,NULL,NULL,2.0
BTEC,"Level 5",HND,M/P,0.0,NULL,NULL,1.6
BTEC,"Level 5",HND,P/M,0.0,NULL,NULL,1.3
BTEC,"Level 5",HND,P,0.0,NULL,NULL,1.0
BTEC,"Level 5",HND,Distinction,NULL,NULL,NULL,NULL
BTEC,"Level 4",HNC,D,0.0,NULL,NULL,3.0
BTEC,"Level 4",HNC,D/M,0.0,NULL,NULL,2.6
BTEC,"Level 4",HNC,M/D,0.0,NULL,NULL,2.3
BTEC,"Level 4",HNC,M,0.0,NULL,NULL,2.0
BTEC,"Level 4",HNC,M/P,0.0,NULL,NULL,1.6
BTEC,"Level 4",HNC,P/M,0.0,NULL,NULL,1.3
BTEC,"Level 4",HNC,P,0.0,NULL,NULL,1.0
BTEC,"Level 3","90-Credit Diploma",D*D*,210.0,58.0,50.2,7.0
BTEC,"Level 3","90-Credit Diploma",D*D*/D*D,206.6,NULL,NULL,6.6
BTEC,"Level 3","90-Credit Diploma",D*D/D*D*,203.3,NULL,NULL,6.3
BTEC,"Level 3","90-Credit Diploma",D*D,200.0,50.2,46.6,6.0
BTEC,"Level 3","90-Credit Diploma",D*D/DD,193.3,NULL,NULL,5.6
BTEC,"Level 3","90-Credit Diploma",DD/D*D,186.6,NULL,NULL,5.3
BTEC,"Level 3","90-Credit Diploma",DD,180.0,46.6,43.0,5.0
BTEC,"Level 3","90-Credit Diploma",DD/DM,173.3,43.0,41.2,4.6
BTEC,"Level 3","90-Credit Diploma",DM/DD,166.6,NULL,NULL,4.3
BTEC,"Level 3","90-Credit Diploma",DM,160.0,41.2,35.8,4.0
BTEC,"Level 3","90-Credit Diploma",DM/MM,146.6,35.8,34.0,3.6
BTEC,"Level 3","90-Credit Diploma",MM/DM,133.3,NULL,NULL,3.3
BTEC,"Level 3","90-Credit Diploma",MM,120.0,34.0,0.0,3.0
BTEC,"Level 3","90-Credit Diploma",MM/MP,113.3,NULL,NULL,2.6
BTEC,"Level 3","90-Credit Diploma",MP/MM,106.6,NULL,NULL,2.3
BTEC,"Level 3","90-Credit Diploma",MP,100.0,NULL,NULL,2.0
BTEC,"Level 3","90-Credit Diploma",MP/PP,86.6,NULL,NULL,1.6
BTEC,"Level 3","90-Credit Diploma",PP/MP,73.3,NULL,NULL,1.3
BTEC,"Level 3","90-Credit Diploma",PP,60.0,NULL,NULL,1.0
BTEC,"Level 3",Certificate,D*,70.0,58.0,48.4,4.0
BTEC,"Level 3",Certificate,D*/D,66.6,48.4,46.6,3.6
BTEC,"Level 3",Certificate,D/D*,63.3,NULL,NULL,3.3
BTEC,"Level 3",Certificate,D,60.0,46.6,41.2,3.0
BTEC,"Level 3",Certificate,D/M,53.3,41.2,38.2,2.6
BTEC,"Level 3",Certificate,M/D,46.6,NULL,NULL,2.3
BTEC,"Level 3",Certificate,M,40.0,35.8,0.0,2.0
BTEC,"Level 3",Certificate,M/P,33.3,NULL,NULL,1.6
BTEC,"Level 3",Certificate,P/M,26.6,NULL,NULL,1.3
BTEC,"Level 3",Certificate,P,20.0,NULL,NULL,1.0
BTEC,"Level 3",Diploma,D*D*,280.0,58.0,50.2,7.0
BTEC,"Level 3",Diploma,D*D*/D*D,273.3,NULL,NULL,6.6
BTEC,"Level 3",Diploma,D*D/D*D*,266.6,NULL,NULL,6.3
BTEC,"Level 3",Diploma,D*D,260.0,50.2,46.6,6.0
BTEC,"Level 3",Diploma,D*D/DD,253.3,NULL,NULL,5.6
BTEC,"Level 3",Diploma,DD/D*D,246.6,NULL,NULL,5.3
BTEC,"Level 3",Diploma,DD,240.0,46.6,43.0,5.0
BTEC,"Level 3",Diploma,DD/DM,226.6,43.0,41.2,4.6
BTEC,"Level 3",Diploma,DM/DD,213.3,NULL,NULL,4.3
BTEC,"Level 3",Diploma,DM,200.0,41.2,35.8,4.0
BTEC,"Level 3",Diploma,DM/MM,186.6,35.8,34.0,3.6
BTEC,"Level 3",Diploma,MM/DM,173.3,NULL,NULL,3.3
BTEC,"Level 3",Diploma,MM,160.0,34.0,0.0,3.0
BTEC,"Level 3",Diploma,MM/MP,146.6,NULL,NULL,2.6
BTEC,"Level 3",Diploma,MP/MM,133.3,NULL,NULL,2.3
BTEC,"Level 3",Diploma,MP,120.0,NULL,NULL,2.0
BTEC,"Level 3",Diploma,MP/PP,106.6,NULL,NULL,1.6
BTEC,"Level 3",Diploma,PP/MP,93.3,NULL,NULL,1.3
BTEC,"Level 3",Diploma,PP,80.0,NULL,NULL,1.0
BTEC,"Level 3","Extended Diploma",D*D*D*,420.0,58.0,50.2,10.0
BTEC,"Level 3","Extended Diploma",D*D*D*/D*D*D,413.3,NULL,NULL,9.6
BTEC,"Level 3","Extended Diploma",D*D*D/D*D*D*,406.6,NULL,NULL,9.3
BTEC,"Level 3","Extended Diploma",D*D*D,400.0,NULL,NULL,9.0
BTEC,"Level 3","Extended Diploma",D*D*D/D*DD,393.3,NULL,NULL,8.6
BTEC,"Level 3","Extended Diploma",D*DD/D*D*D,386.6,NULL,NULL,8.3
BTEC,"Level 3","Extended Diploma",D*DD,380.0,50.2,46.6,8.0
BTEC,"Level 3","Extended Diploma",D*DD/DDD,373.3,NULL,NULL,7.6
BTEC,"Level 3","Extended Diploma",DDD/D*DD,366.6,NULL,NULL,7.3
BTEC,"Level 3","Extended Diploma",DDD,360.0,46.6,44.8,7.0
BTEC,"Level 3","Extended Diploma",DDD/DDM,346.6,NULL,NULL,6.6
BTEC,"Level 3","Extended Diploma",DDM/DDD,333.3,NULL,NULL,6.3
BTEC,"Level 3","Extended Diploma",DDM,320.0,44.8,38.2,6.0
BTEC,"Level 3","Extended Diploma",DDM/DMM,306.6,NULL,NULL,5.6
BTEC,"Level 3","Extended Diploma",DMM/DDM,293.3,NULL,NULL,5.3
BTEC,"Level 3","Extended Diploma",DMM,280.0,38.2,34.0,5.0
BTEC,"Level 3","Extended Diploma",DMM/MMM,266.6,NULL,NULL,4.6
BTEC,"Level 3","Extended Diploma",MMM/DMM,253.3,NULL,NULL,4.3
BTEC,"Level 3","Extended Diploma",MMM,240.0,34.0,0.0,4.0
BTEC,"Level 3","Extended Diploma",MMM/MMP,226.6,NULL,NULL,3.6
BTEC,"Level 3","Extended Diploma",MMP/MMM,213.3,NULL,NULL,3.3
BTEC,"Level 3","Extended Diploma",MMP,200.0,NULL,NULL,3.0
BTEC,"Level 3","Extended Diploma",MMP/MPP,186.6,NULL,NULL,2.6
BTEC,"Level 3","Extended Diploma",MPP/MMP,173.3,NULL,NULL,2.3
BTEC,"Level 3","Extended Diploma",MPP,160.0,NULL,NULL,2.0
BTEC,"Level 3","Extended Diploma",MPP/PPP,146.6,NULL,NULL,1.6
BTEC,"Level 3","Extended Diploma",PPP/MPP,133.3,NULL,NULL,1.3
BTEC,"Level 3","Extended Diploma",PPP,120.0,NULL,NULL,1.0
BTEC,"Level 3","Foundation Diploma",D,285.0,NULL,NULL,3.0
BTEC,"Level 3","Foundation Diploma",D/M,265.0,NULL,NULL,2.6
BTEC,"Level 3","Foundation Diploma",M/D,245.0,NULL,NULL,2.3
BTEC,"Level 3","Foundation Diploma",M,225.0,NULL,NULL,2.0
BTEC,"Level 3","Foundation Diploma",M/P,205.0,NULL,NULL,1.6
BTEC,"Level 3","Foundation Diploma",P/M,185.0,NULL,NULL,1.3
BTEC,"Level 3","Foundation Diploma",P,165.0,NULL,NULL,1.0
BTEC,"Level 3","Subsidiary Diploma",D*,140.0,58.0,48.4,4.0
BTEC,"Level 3","Subsidiary Diploma",D*/D,133.3,48.4,46.6,3.6
BTEC,"Level 3","Subsidiary Diploma",D/D*,126.6,NULL,NULL,3.3
BTEC,"Level 3","Subsidiary Diploma",D,120.0,46.6,41.2,3.0
BTEC,"Level 3","Subsidiary Diploma",D/M,106.6,41.2,35.8,2.6
BTEC,"Level 3","Subsidiary Diploma",M/D,93.3,NULL,NULL,2.3
BTEC,"Level 3","Subsidiary Diploma",M,80.0,35.8,0.0,2.0
BTEC,"Level 3","Subsidiary Diploma",M/P,66.6,NULL,NULL,1.6
BTEC,"Level 3","Subsidiary Diploma",P/M,53.3,NULL,NULL,1.3
BTEC,"Level 3","Subsidiary Diploma",P,40.0,NULL,NULL,1.0
BTEC,"Level 2",Award,D*/D,0.0,NULL,NULL,3.6
BTEC,"Level 2",Award,D/D*,0.0,NULL,NULL,3.3
BTEC,"Level 2",Award,D/M,0.0,NULL,NULL,2.6
BTEC,"Level 2",Award,M/D,0.0,NULL,NULL,2.3
BTEC,"Level 2",Award,M/P,0.0,NULL,NULL,1.6
BTEC,"Level 2",Award,P/M,0.0,NULL,NULL,1.3
BTEC,"Level 2",Certificate,D*,0.0,NULL,NULL,4.0
BTEC,"Level 2",Certificate,D*/D,0.0,NULL,NULL,3.6
BTEC,"Level 2",Certificate,D/D*,0.0,NULL,NULL,3.3
BTEC,"Level 2",Certificate,D,0.0,NULL,NULL,3.0
BTEC,"Level 2",Certificate,D/M,0.0,NULL,NULL,2.6
BTEC,"Level 2",Certificate,M/D,0.0,NULL,NULL,2.3
BTEC,"Level 2",Certificate,M,0.0,NULL,NULL,2.0
BTEC,"Level 2",Certificate,M/P,0.0,NULL,NULL,1.6
BTEC,"Level 2",Certificate,P/M,0.0,NULL,NULL,1.3
BTEC,"Level 2",Certificate,P,0.0,NULL,NULL,1.0
BTEC,"Level 2",Diploma,D*,0.0,NULL,NULL,4.0
BTEC,"Level 2",Diploma,D*/D,0.0,NULL,NULL,3.6
BTEC,"Level 2",Diploma,D/D*,0.0,NULL,NULL,3.3
BTEC,"Level 2",Diploma,D,0.0,NULL,NULL,3.0
BTEC,"Level 2",Diploma,D/M,0.0,NULL,NULL,2.6
BTEC,"Level 2",Diploma,M/D,0.0,NULL,NULL,2.3
BTEC,"Level 2",Diploma,M,0.0,NULL,NULL,2.0
BTEC,"Level 2",Diploma,M/P,0.0,NULL,NULL,1.6
BTEC,"Level 2",Diploma,P/M,0.0,NULL,NULL,1.3
BTEC,"Level 2",Diploma,P,0.0,NULL,NULL,1.0
BTEC,"Level 2","Extended Certificate",D*,0.0,NULL,NULL,4.0
BTEC,"Level 2","Extended Certificate",D*/D,0.0,NULL,NULL,3.6
BTEC,"Level 2","Extended Certificate",D/D*,0.0,NULL,NULL,3.3
BTEC,"Level 2","Extended Certificate",D,0.0,NULL,NULL,3.0
BTEC,"Level 2","Extended Certificate",D/M,0.0,NULL,NULL,2.6
BTEC,"Level 2","Extended Certificate",M/D,0.0,NULL,NULL,2.3
BTEC,"Level 2","Extended Certificate",M,0.0,NULL,NULL,2.0
BTEC,"Level 2","Extended Certificate",M/P,0.0,NULL,NULL,1.6
BTEC,"Level 2","Extended Certificate",P/M,0.0,NULL,NULL,1.3
BTEC,"Level 2","Extended Certificate",P,0.0,NULL,NULL,1.0
BTEC,"Level 1 & 2",Award,"Level 2 Distinction *",0.0,NULL,NULL,6.0
BTEC,"Level 1 & 2",Award,"Level 2 Distinction */Level 2 Distinction",0.0,NULL,NULL,5.6
BTEC,"Level 1 & 2",Award,"Level 2 Distinction/Level 2 Distinction *",0.0,NULL,NULL,5.3
BTEC,"Level 1 & 2",Award,"Level 2 Distinction",0.0,NULL,NULL,5.0
BTEC,"Level 1 & 2",Award,"Level 2 Distinction/Level 2 Merit",0.0,NULL,NULL,4.6
BTEC,"Level 1 & 2",Award,"Level 2 Merit/Level 2 Distinction",0.0,NULL,NULL,4.3
BTEC,"Level 1 & 2",Award,"Level 2 Merit",0.0,NULL,NULL,4.0
BTEC,"Level 1 & 2",Award,"Level 2 Merit/Level 2 Pass",0.0,NULL,NULL,3.6
BTEC,"Level 1 & 2",Award,"Level 2 Pass/Level 2 Merit",0.0,NULL,NULL,3.3
BTEC,"Level 1 & 2",Award,"Level 2 Pass",0.0,NULL,NULL,3.0
BTEC,"Level 1 & 2",Award,"Level 2 Pass/Level 1",0.0,NULL,NULL,2.6
BTEC,"Level 1 & 2",Award,"Level 1/Level 2 Pass",0.0,NULL,NULL,2.3
BTEC,"Level 1 & 2",Award,"Level 1",0.0,NULL,NULL,2.0
BTEC,"Level 1 & 2",Award,"Level 1/U",0.0,NULL,NULL,1.6
BTEC,"Level 1 & 2",Award,"U/Level 1",0.0,NULL,NULL,1.3
BTEC,"Level 1 & 2",Award,U,0.0,NULL,NULL,1.0
BTEC,"Level 1 & 2",Certificate,"Level 2 D*D*",0.0,NULL,NULL,9.0
BTEC,"Level 1 & 2",Certificate,"Level 2 D*D*/Level 2 D*D",0.0,NULL,NULL,8.6
BTEC,"Level 1 & 2",Certificate,"Level 2 D*D/Level 2 D*D*",0.0,NULL,NULL,8.3
BTEC,"Level 1 & 2",Certificate,"Level 2 D*D",0.0,NULL,NULL,8.0
BTEC,"Level 1 & 2",Certificate,"Level 2 D*D/Level 2 DD",0.0,NULL,NULL,7.6
BTEC,"Level 1 & 2",Certificate,"Level 2 DD/Level 2 D*D",0.0,NULL,NULL,7.3
BTEC,"Level 1 & 2",Certificate,"Level 2 DD",0.0,NULL,NULL,7.0
BTEC,"Level 1 & 2",Certificate,"Level 2 DD/Level 2 DM",0.0,NULL,NULL,6.6
BTEC,"Level 1 & 2",Certificate,"Level 2 DM/Level 2 DD",0.0,NULL,NULL,6.3
BTEC,"Level 1 & 2",Certificate,"Level 2 DM",0.0,NULL,NULL,6.0
BTEC,"Level 1 & 2",Certificate,"Level 2 DM/Level 2 MM",0.0,NULL,NULL,5.6
BTEC,"Level 1 & 2",Certificate,"Level 2 MM/Level 2 DM",0.0,NULL,NULL,5.3
BTEC,"Level 1 & 2",Certificate,"Level 2 MM",0.0,NULL,NULL,5.0
BTEC,"Level 1 & 2",Certificate,"Level 2 MM/Level 2 MP",0.0,NULL,NULL,4.6
BTEC,"Level 1 & 2",Certificate,"Level 2 MP/Level 2 MM",0.0,NULL,NULL,4.3
BTEC,"Level 1 & 2",Certificate,"Level 2 MP",0.0,NULL,NULL,4.0
BTEC,"Level 1 & 2",Certificate,"Level 2 MP/Level 2 PP",0.0,NULL,NULL,3.6
BTEC,"Level 1 & 2",Certificate,"Level 2 PP/Level 2 MP",0.0,NULL,NULL,3.3
BTEC,"Level 1 & 2",Certificate,"Level 2 PP",0.0,NULL,NULL,3.0
BTEC,"Level 1 & 2",Certificate,"Level 2 PP/Level 1",0.0,NULL,NULL,2.6
BTEC,"Level 1 & 2",Certificate,"Level 1/Level 2 PP",0.0,NULL,NULL,2.3
BTEC,"Level 1 & 2",Certificate,"Level 1",0.0,NULL,NULL,2.0
BTEC,"Level 1 & 2",Certificate,"Level 1/U",0.0,NULL,NULL,1.6
BTEC,"Level 1 & 2",Certificate,"U/Level 1",0.0,NULL,NULL,1.3
BTEC,"Level 1 & 2",Certificate,U,0.0,NULL,NULL,1.0
BTEC,"Level 1 & 2",Diploma,"Level 2 D*D*",0.0,NULL,NULL,9.0
BTEC,"Level 1 & 2",Diploma,"Level 2 D*D*/Level 2 D*D",0.0,NULL,NULL,8.6
BTEC,"Level 1 & 2",Diploma,"Level 2 D*D/Level 2 D*D*",0.0,NULL,NULL,8.3
BTEC,"Level 1 & 2",Diploma,"Level 2 D*D",0.0,NULL,NULL,8.0
BTEC,"Level 1 & 2",Diploma,"Level 2 D*D/Level 2 DD",0.0,NULL,NULL,7.6
BTEC,"Level 1 & 2",Diploma,"Level 2 DD/Level 2 D*D",0.0,NULL,NULL,7.3
BTEC,"Level 1 & 2",Diploma,"Level 2 DD",0.0,NULL,NULL,7.0
BTEC,"Level 1 & 2",Diploma,"Level 2 DD/Level 2 DM",0.0,NULL,NULL,6.6
BTEC,"Level 1 & 2",Diploma,"Level 2 DM/Level 2 DD",0.0,NULL,NULL,6.3
BTEC,"Level 1 & 2",Diploma,"Level 2 DM",0.0,NULL,NULL,6.0
BTEC,"Level 1 & 2",Diploma,"Level 2 DM/Level 2 MM",0.0,NULL,NULL,5.6
BTEC,"Level 1 & 2",Diploma,"Level 2 MM/Level 2 DM",0.0,NULL,NULL,5.3
BTEC,"Level 1 & 2",Diploma,"Level 2 MM",0.0,NULL,NULL,5.0
BTEC,"Level 1 & 2",Diploma,"Level 2 MM/Level 2 MP",0.0,NULL,NULL,4.6
BTEC,"Level 1 & 2",Diploma,"Level 2 MP/Level 2 MM",0.0,NULL,NULL,4.3
BTEC,"Level 1 & 2",Diploma,"Level 2 MP",0.0,NULL,NULL,4.0
BTEC,"Level 1 & 2",Diploma,"Level 2 MP/Level 2 PP",0.0,NULL,NULL,3.6
BTEC,"Level 1 & 2",Diploma,"Level 2 PP/Level 2 MP",0.0,NULL,NULL,3.3
BTEC,"Level 1 & 2",Diploma,"Level 2 PP",0.0,NULL,NULL,3.0
BTEC,"Level 1 & 2",Diploma,"Level 2 PP/Level 1",0.0,NULL,NULL,2.6
BTEC,"Level 1 & 2",Diploma,"Level 1/Level 2 PP",0.0,NULL,NULL,2.3
BTEC,"Level 1 & 2",Diploma,"Level 1",0.0,NULL,NULL,2.0
BTEC,"Level 1 & 2",Diploma,"Level 1/U",0.0,NULL,NULL,1.6
BTEC,"Level 1 & 2",Diploma,"U/Level 1",0.0,NULL,NULL,1.3
BTEC,"Level 1 & 2",Diploma,U,0.0,NULL,NULL,1.0
BTEC,"Level 1 & 2","Extended Certificate","Level 2 D*D*",0.0,NULL,NULL,9.0
BTEC,"Level 1 & 2","Extended Certificate","Level 2 D*D*/Level 2 D*D",0.0,NULL,NULL,8.6
BTEC,"Level 1 & 2","Extended Certificate","Level 2 D*D/Level 2 D*D*",0.0,NULL,NULL,8.3
BTEC,"Level 1 & 2","Extended Certificate","Level 2 D*D",0.0,NULL,NULL,8.0
BTEC,"Level 1 & 2","Extended Certificate","Level 2 D*D/Level 2 DD",0.0,NULL,NULL,7.6
BTEC,"Level 1 & 2","Extended Certificate","Level 2 DD/Level 2 D*D",0.0,NULL,NULL,7.3
BTEC,"Level 1 & 2","Extended Certificate","Level 2 DD",0.0,NULL,NULL,7.0
BTEC,"Level 1 & 2","Extended Certificate","Level 2 DD/Level 2 DM",0.0,NULL,NULL,6.6
BTEC,"Level 1 & 2","Extended Certificate","Level 2 DM/Level 2 DD",0.0,NULL,NULL,6.3
BTEC,"Level 1 & 2","Extended Certificate","Level 2 DM",0.0,NULL,NULL,6.0
BTEC,"Level 1 & 2","Extended Certificate","Level 2 DM/Level 2 MM",0.0,NULL,NULL,5.6
BTEC,"Level 1 & 2","Extended Certificate","Level 2 MM/Level 2 DM",0.0,NULL,NULL,5.3
BTEC,"Level 1 & 2","Extended Certificate","Level 2 MM",0.0,NULL,NULL,5.0
BTEC,"Level 1 & 2","Extended Certificate","Level 2 MM/Level 2 MP",0.0,NULL,NULL,4.6
BTEC,"Level 1 & 2","Extended Certificate","Level 2 MP/Level 2 MM",0.0,NULL,NULL,4.3
BTEC,"Level 1 & 2","Extended Certificate","Level 2 MP",0.0,NULL,NULL,4.0
BTEC,"Level 1 & 2","Extended Certificate","Level 2 MP/Level 2 PP",0.0,NULL,NULL,3.6
BTEC,"Level 1 & 2","Extended Certificate","Level 2 PP/Level 2 MP",0.0,NULL,NULL,3.3
BTEC,"Level 1 & 2","Extended Certificate","Level 2 PP",0.0,NULL,NULL,3.0
BTEC,"Level 1 & 2","Extended Certificate","Level 2 PP/Level 1",0.0,NULL,NULL,2.6
BTEC,"Level 1 & 2","Extended Certificate","Level 1/Level 2 PP",0.0,NULL,NULL,2.3
BTEC,"Level 1 & 2","Extended Certificate","Level 1",0.0,NULL,NULL,2.0
BTEC,"Level 1 & 2","Extended Certificate","Level 1/U",0.0,NULL,NULL,1.6
BTEC,"Level 1 & 2","Extended Certificate","U/Level 1",0.0,NULL,NULL,1.3
BTEC,"Level 1 & 2","Extended Certificate",U,0.0,NULL,NULL,1.0
BTEC,"Level 1",Award,Pass,NULL,NULL,NULL,1.0
BTEC,"Level 1",Award,"Not Achieved",NULL,NULL,NULL,0.0
BTEC,"Level 1",Certificate,Pass,NULL,NULL,NULL,1.0
BTEC,"Level 1",Certificate,"Not Achieved",NULL,NULL,NULL,0.0
BTEC,"Level 1",Diploma,Pass,NULL,NULL,NULL,1.0
BTEC,"Level 1",Diploma,"Not Achieved",NULL,NULL,NULL,0.0
